Server_Name,IP_Address,Description,SCADA_System,Domain,Connected,Maintained,Fully_Qualified,Identifier,Location,OS_Installation,MS_Office,Other_Software,NOTES,Distribute_TGPL_GRAPHICS
wmstutdevgas02,172.26.192.64,Development GMAS Server,FCA/NE SCADA,,,,,114,,,,,,
wmstutdevgas03,,RMA Development GMAS Server,RMA/GCA,WMSSCADADEV,,,wmstutdevgas03.WMSSCADADEV.training,115,Tulsa,,,,,
wmstutdevgas05,,Development GMAS Server,G&P SCADA,WMSSCADADEV,,,wmstutdevgas05.WMSSCADADEV.training,116,Tulsa,,,,,
wmstutdevgas1,,Development GMAS Server,G&P SCADA,Williams,,,wmstutdevgas1.Williams.com,117,Tulsa,,,,,
wmstutdevmts1,,Development Terminal Server,G&P SCADA,Williams,,,wmstutdevmts1.Williams.com,118,Tulsa,,,,,
wmstutdevopcua1,10.27.13.221,Development Kepware Server,G&P SCADA,WMSSCADADEV,✔,,wmstutdevopcua1.WMSSCADADEV.training,119,Tulsa,,,KepserverEX 6.6 V6.6.350.0,,
wmstutdevrep01,,LMS Development,Liquids SCADA,WMSSCADADEV,,,wmstutdevrep01.WMSSCADADEV.training,120,Tulsa,,,,,
wmstutdevrts1,,Development RealTime 1,G&P SCADA,Williams,,,wmstutdevrts1.Williams.com,121,Tulsa,,,,,
wmstutdevrts2,,Development RealTime 2,G&P SCADA,Williams,,,wmstutdevrts2.Williams.com,122,Tulsa,,,,,
wmstutdfcarts1,10.27.13.222,FCA Development RealTime 1,FCA/NE SCADA,Williams,✔,,wmstutdfcarts1.Williams.com,123,Tulsa,MS Server 2003 Enterprise Edition SP2,,MS Visual Studio 2005 v8,,
wmstutdfcarts2,,FCA Development RealTime 2,FCA/NE SCADA,Williams,,,wmstutdfcarts2.Williams.com,124,Tulsa,,,,,
wmstutdhis1,10.27.13.39,LMS Development Historian,Liquids SCADA,WMSSCADADEV,,,wmstutdhis1.WMSSCADADEV.training,125,Tulsa,,,,,
wmstutdlmsrts1,10.27.13.224,LMS Development RealTime 1,Liquids SCADA,WMSSCADADEV,✔,✔,wmstutdlmsrts1.WMSSCADADEV.training,126,Tulsa,,,,,
wmstutdrmamts01,,RMA Development Terminal Server,RMA/GCA,WMSSCADADEV,,,wmstutdrmamts01.WMSSCADADEV.training,127,Tulsa,MS Server 2008 R2 Standard SP1,MS Office 2010,,,
wmstutdrmarts1,10.27.13.223,RMA Development RealTime 1,RMA/GCA,Williams,✔,,wmstutdrmarts1.Williams.com,128,Tulsa,MS Server 2003 Enterprise Edition SP2,,,,
wmstutdss1,172.26.192.191,G&P DSS - RealTime data from all 3 G&P SCADA Systems,G&P SCADA,Williams,✔,✔,wmstutdss1.Williams.com,129,Tulsa,MS Server 2003 Enterprise Edition SP2,,MS SQL Server 2005 v9 // MS Visual Studio 2005 v8,,
wmstutdssmts01,172.26.192.156,G&P DSS Terminal Server,G&P SCADA,Williams,✔,✔,wmstutdssmts01.Williams.com,130,Tulsa,MS Server 2008 R2 Standard SP1,MS Office 2010,,,
wmstutdssmts02,172.26.192.151,G&P DSS Terminal Server,G&P SCADA,Williams,✔,✔,wmstutdssmts02.Williams.com,131,Tulsa,,,,,
wmstuteng1,172.26.191.106,G&P Engineering Server,G&P SCADA,WMSSCADA,✔,,wmstuteng1.WMSSCADA.local,132,Tulsa,,,,,
wmstuteng2,172.26.191.88,LMS Engineering Server - Tulsa ezXOS Display repository,Liquids SCADA,WMSSCADA,✔,,wmstuteng2.WMSSCADA.local,133,Tulsa,,,,,
wmstutfcagas1,172.26.192.179,FCA GMAS Server 1,FCA/NE SCADA,WMSSCADA,,,wmstutfcagas1.WMSSCADA.local,134,Tulsa,,,MS SQL Server 2005 v9,,
wmstutfcagas2,172.26.192.180,FCA GMAS Server 2,FCA/NE SCADA,WMSSCADA,,,wmstutfcagas2.WMSSCADA.local,135,Tulsa,,,MS SQL Server 2005 v9,,
wmstutfcahis1,172.26.191.51,FCA Historian 1,FCA/NE SCADA,WMSSCADA,✔,✔,wmstutfcahis1.WMSSCADA.local,136,Tulsa,MS Server 2003 Enterprise Edition R2,,MS SQL Server 2005 v9,,
wmstutfcahis2,172.26.191.52,FCA Historian 2,FCA/NE SCADA,WMSSCADA,✔,✔,wmstutfcahis2.WMSSCADA.local,137,Tulsa,MS Server 2003 Enterprise Edition R2,,MS SQL Server 2005 v9,,
wmstutfcamts01,172.26.191.212,FCA ezXOS Terminal Server,FCA/NE SCADA,Williams,✔,✔,wmstutfcamts01.Williams.com,138,Tulsa,MS Server 2008 R2 Standard SP1,MS Office 2010,,,
wmstutfcarts1,172.26.191.115,FCA Primary 1 SCADA System for NE Assets,FCA/NE SCADA,WMSSCADA,✔,✔,wmstutfcarts1.WMSSCADA.local,139,Tulsa,MS Server 2003 Enterprise Edition SP2,,MS Visual Studio 2005 v8,,
wmstutfcarts2,172.26.191.116,FCA Primary 2 SCADA System for NE Assets,FCA/NE SCADA,WMSSCADA,✔,✔,wmstutfcarts2.WMSSCADA.local,140,Tulsa,MS Server 2003 Enterprise Edition SP2,,,Arbritation does not start automatically. NMC required. Slow to transfer replicated data,
wmstutgasopcda1,172.26.191.227,RMA Kepware Server - Kepware.KEPServerEX.V5,G&P SCADA,,✔,,,141,,,,,,
wmstutlds1,172.26.191.106,LMS SimSuite Server 1,Liquids SCADA,WMSSCADA,✔,,wmstutlds1.WMSSCADA.local,142,Tulsa,,,,,
wmstutlds2,172.26.191.106,LMS SimSuite Server 1,Liquids SCADA,WMSSCADA,✔,,wmstutlds2.WMSSCADA.local,143,Tulsa,,,,,
wmstutlmshis1,172.26.191.59,LMS Historian 1,Liquids SCADA,Williams,✔,✔,wmstutlmshis1.Williams.com,144,Tulsa,MS Server 2003 Enterprise Edition R2,,MS SQL Server 2005 v9,,
wmstutlmshis2,172.26.191.60,LMS Historian 2,Liquids SCADA,Williams,✔,✔,wmstutlmshis2.Williams.com,145,Tulsa,MS Server 2003 Enterprise Edition R2,,MS SQL Server 2005 v9,,
wmstutlmsmts01,172.26.191.211,LMS ezXOS Terminal Server for Liquids,Liquids SCADA,WMSSCADA,✔,✔,wmstutlmsmts01.WMSSCADA.local,146,Tulsa,,MS Office 2010,,,
wmstutlmsopcda1,172.26.191.225,LMS Kepware Server - Kepware.KEPServerEX.V5,Liquids SCADA,Williams,✔,,wmstutlmsopcda1.Williams.com,147,,,,,,
wmstutlmsopcua1,172.26.191.226,LMS DA1 & UA1 Kepware Server - Kepware.KEPServerEX.V5,Liquids SCADA,WMSSCADA,✔,,wmstutlmsopcua1.WMSSCADA.local,148,Tulsa,,,KepserverEX 6.6 V6.6.350.0,,
wmstutlmsrts1,172.26.191.119,LMS Liquids Primary 1 SCADA System for Liquids Assets,Liquids SCADA,WMSSCADA,✔,✔,wmstutlmsrts1.WMSSCADA.local,149,Tulsa,MS Server 2003 Enterprise Edition SP2,,MS Visual Studio 2005 v8,,
wmstutlmsrts2,172.26.191.120,LMS Liquids Primary 2 SCADA System for Liquids Assets,Liquids SCADA,WMSSCADA,✔,✔,wmstutlmsrts2.WMSSCADA.local,150,Tulsa,MS Server 2003 Enterprise Edition SP2,,MS Visual Studio 2005 v8,,
wmstutmts1,172.26.192.192,Terminal Server - SIGHTLINE,G&P SCADA,Williams,,,wmstutmts1.Williams.com,151,Tulsa,,,,,
wmstutmts2,172.26.192.193,Terminal Server - SIGHTLINE,G&P SCADA,Williams,✔,,wmstutmts2.Williams.com,152,Tulsa,,,,,
wmstutopc02,172.26.191.62,Top Kepware Server - Version 5 Kepware,G&P SCADA,WMSSCADA,✔,,wmstutopc02.WMSSCADA.local,153,Tulsa,MS Server 2012 R2 Standard,,KepserverEX 6.6 V6.6.350.0,,
